"Q12" "Q1" "Q13" "Q22" "Q24" "Q27" "Q30" "Q32" "Q34" "Q37" "Q40" "Q41" "Q43" "Q44" "V1" "P" "PJ_ONU" "PJ_CNJ" "PM" "PMJ_ONU" "PMJ_CNJ" "fvl" "Tot_DR" "até_5" "X5_a_10" "X10_a_20" "X20_" "RM_DOM" "S_RM_DOM" "perc_5" "perc5_a_10" "perc10_a_20" "perc20_" "Total_EF" "P2000" "EF_P" "Q70" "Q71" "Q73" "Q74" "Q75" "Q76" "Q77" "Q78" "Q79" "Km2" "AC_1" "AC_2" "AC_3" "AC_4" "AC_5" "AC_6" "AC_7" "AC_8" "AC_9" "AC_10" "AC_11" "AC_12" "AC_14" "AC_15" "AC_99" "AC_ResBP" "AC_nRes" "Seccional"
"45" 27 2013 "CAMPO_BELO" 10 9 405 2 7 80 21 865 1918 535 3390 3 65208 29839 6883 11891 3388 5748 1714 22370 5237 4995 5555 6583 13.342 8.52 0.234 0.223 0.248 0.294 73783 65760 1.122 1442 626 487 626 680 19 44 0 66 8.85 62141 1068006 760895 1116184 2368832 690295 329909 41315 22026 247317 71427 51586 30540 13050 106453 199134 1466925 "2 SUL"
"46" 27 2003 "CAMPO_BELO" 16 21 398 3 3 58 47 901 3007 1313 2641 21 66528 10413 16278 30465 4983 7648 897 21514.034 3098.066 2971.438 3830.659 11613.871 17.562 9.874 0.144 0.138 0.178 0.54 122747 66756 1.839 1301 270 449 275 389 50 123 10 229 8.85 61390 1088832 753513 1036139 1317956 555801 322649 87600 16758 147970 87103 46473 23825 12565 93381 178596 1276919 "2 SUL"
"47" 28 2013 "FREGUESIA_DO_Ó" 11 20 223 3 12 48 29 831 1672 427 2525 24 141709 66584 20552 32844 10331 16338 1723 43254 24524 11760 5636 1334 6.182 10.573 0.567 0.272 0.13 0.031 29912 142349 0.21 697 99 132 99 112 4 0 0 2 11.09 751375 1864274 139993 1019188 42349 957747 96887 216742 56510 32501 102622 93966 59837 4301 72935 884147 1561276 "4 OESTE"
"48" 28 2003 "FREGUESIA_DO_Ó" 27 23 231 0 10 31 42 388 1153 590 1666 41 144679 25536 38101 68552 12564 18535 1619 41875.241 13885.791 11818.791 9680.808 6489.851 10.288 8.762 0.332 0.282 0.231 0.155 20331 145018 0.14 859 166 333 184 183 72 5 0 105 11.09 685836 1769236 138085 779823 40411 876880 90742 230835 50820 26489 95333 75345 38431 2862 55235 779502 1449306 "4 OESTE"
"49" 29 2013 "VILA_DIVA" 2 2 142 1 8 5 0 219 377 477 766 7 84373 38923 10431 17023 5242 8535 0 26549 12423 7469 4747 1910 7.76 9.713 0.468 0.281 0.179 0.072 22261 84971 0.262 556 26 94 26 28 7 0 0 8 7.12 464372 1631967 157714 1061843 493191 819404 96839 360167 89612 23714 73016 78101 26742 11371 67455 558569 1552224 "5 LESTE"
"50" 29 2003 "VILA_DIVA" 8 5 145 2 4 10 27 583 867 550 905 14 85775 13507 20329 39812 6697 10063 0 26609.448 6836.175 7067.269 6351.491 6354.513 12.185 8.484 0.257 0.266 0.239 0.239 16601 85992 0.193 357 106 186 130 146 25 37 0 56 7.12 455074 1564328 156316 542128 265321 796241 97951 432355 86706 19318 66834 66228 24634 15434 45413 525121 1581067 "5 LESTE"
"51" 31 2013 "VILA_CARRÃO" 3 3 204 0 2 10 5 167 451 383 765 3 83965 39060 11121 17785 5739 9027 688 25694 12455 7254 4400 1585 7.44 9.873 0.485 0.282 0.171 0.062 24875 83238 0.299 1003 428 214 482 557 58 0 0 42 7.88 478383 1374614 142033 904834 684114 862652 133272 305179 77364 50205 84727 69840 19784 8293 47859 546026 1591532 "5 LESTE"
"52" 31 2003 "VILA_CARRÃO" 0 6 135 0 4 1 26 378 840 618 867 10 79904 12644 19008 37307 6329 9345 853 23165.364 6335.666 5991.8 5924.62 4913.279 11.762 8.51 0.273 0.259 0.256 0.212 15821 78269 0.202 453 110 150 137 169 43 86 0 84 7.88 479048 1302188 164063 657041 98107 806505 90515 414059 77447 52430 64001 58472 16378 9263 39427 534853 1572692 "5 LESTE"
"53" 33 2003 "PIRITUBA" 23 16 271 1 15 27 59 475 1212 481 1426 28 109016 19574 29540 52336 9681 14498 3941 31172.777 10328.761 8592.779 7023.115 5228.122 10.468 8.718 0.331 0.276 0.225 0.168 24236 108477 0.223 683 189 367 222 243 43 4 0 105 14.38 632872 1416313 300213 321072 14422 700872 91324 550332 305967 40426 53126 66577 14864 1343 50503 698239 1809967 "3 OESTE"
"54" 33 2013 "PIRITUBA" 5 10 342 0 19 63 10 640 1128 949 1649 6 109938 52273 15952 25494 7989 12734 3746 32479 19396 7903 3951 1229 6.089 10.629 0.597 0.243 0.122 0.038 41683 109727 0.38 1094 554 761 556 540 183 24 0 61 14.38 660291 1520123 376834 436903 75761 751822 125673 494127 433908 49783 64387 55549 40337 13999 55288 755916 1989248 "3 OESTE"
